藏品编号,藏品名字,藏品博物馆,藏品年代,藏品年代简介,藏品作者,藏品类型,藏品介绍,藏品图片地址,藏品地址,藏品材质,藏品来源,藏品收藏等级
167,现代叶恭绰行书毛泽东“娄山关”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
168,现代高二适行草书七言唐诗轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
169,现代摹辽阳三道壕第一号壁画墓壁画,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,采集,三级
170,现代剔红牡丹纹漆瓶,辽宁博物馆,中华人民共和国,,,漆器,,,,"木,其他有机质",征集购买,三级
171,现代炼钢防热服,辽宁博物馆,中华人民共和国,,,织绣,,,,"丝,棉麻纤维,玻璃",采集,三级
172,现代于立群楷书“你办事，我放心”横幅,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
173,现代叶恭绰行书毛泽东“元旦”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
174,现代于非厂设色玉兰成扇,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,"竹,纸",接受捐赠,二级
175,现代俞陛云设色山水折扇,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,"竹,纸,其他有机质",征集购买,三级
176,现代沈尹默行书高尔基忆列宁语轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,旧藏,三级
177,现代陈林斋、孙天牧合作摹唐宋元画页,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,采集,三级
178,现代剔红牡丹纹漆瓶,辽宁博物馆,中华人民共和国,,,漆器,,,,"木,其他有机质",征集购买,三级
179,现代木斗、木升,辽宁博物馆,中华人民共和国,,,度量衡器,,,,木,采集,三级
180,现代齐燕铭行书毛主席语录立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
181,现代叶恭绰行书毛泽东“广昌路上”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
182,现代溥佐设色骑马人物成扇,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,"竹,纸",接受捐赠,二级
183,现代剔红菊花纹瓜式漆盒,辽宁博物馆,中华人民共和国,,,漆器,,,,"木,其他有机质",征集购买,三级
184,现代155公里榴弹炮弹,辽宁博物馆,中华人民共和国,,,武器,,,,其他金属,拨交,三级
185,现代葫芦形点种器,辽宁博物馆,中华人民共和国,,,其他,,,,"木,棉麻纤维,其他植物质",采集,三级
186,现代沈雁冰行书毛主席诗词《水调歌头重上井岗山》立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
187,现代王方宇章草书急就章镜心(朱书),辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
188,现代马晋设色奔马图成扇,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,"竹,纸",接受捐赠,二级
189,现代陈叔通行书诗轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,旧藏,二级
190,现代剔红牡丹纹圆漆盒,辽宁博物馆,中华人民共和国,,,漆器,,,,"木,其他有机质",征集购买,三级
191,现代时间引信,辽宁博物馆,中华人民共和国,,,其他,,,,其他金属,拨交,三级
192,现代坩埚,辽宁博物馆,中华人民共和国,,,陶器,,,,陶,采集,三级
193,现代沈雁冰行书《满江红》词立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
194,现代叶恭绰行书毛泽东“送瘟神”卷,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
195,现代陈半丁设色杜鹃成扇,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,"竹,纸",接受捐赠,二级
196,现代嵌锡片车马纹绿漆瓶,辽宁博物馆,中华人民共和国,,,漆器,,,,"木,其他金属",征集购买,三级
197,现代引信,辽宁博物馆,中华人民共和国,,,其他,,,,其他金属,拨交,三级
198,现代大杆称,辽宁博物馆,中华人民共和国,,,度量衡器,,,,"木,皮革,铜,其他无机质",采集,三级
199,现代沈雁冰行书学习毛主席词二首后感赋立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
200,现代叶恭绰行书毛泽东渔家傲卷,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
201,现代周元亮设色“烟峦雨霁”成扇,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,"竹,纸",接受捐赠,二级
202,现代李长志卉册,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,旧藏,三级
203,现代嵌锡填彩花卉纹黑漆瓶,辽宁博物馆,中华人民共和国,,,漆器,,,,"棉麻纤维,其他有机质,其他金属",征集购买,三级
204,现代弹底引信,辽宁博物馆,中华人民共和国,,,其他,,,,其他金属,拨交,三级
205,现代铁锄、铁镐、铁镰,辽宁博物馆,中华人民共和国,,,铁器、其他金属器,,,,铁,采集,三级
206,现代徐悲鸿行书轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
207,现代赵朴初行书七言诗立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
208,现代章士钊行书毛泽东诗词集卷,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
209,现代萧愻水墨山水成扇,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,"竹,纸",接受捐赠,二级
210,现代金梁金文书轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,旧藏,三级
211,现代堆云龙纹绿漆烟具,辽宁博物馆,中华人民共和国,,,漆器,,,,"木,其他有机质",征集购买,三级
212,现代碎弹片,辽宁博物馆,中华人民共和国,,,武器,,,,其他金属,拨交,三级
213,现代铁锄,辽宁博物馆,中华人民共和国,,,铁器、其他金属器,,,,"木,铁",采集,三级
214,现代邱绶臣枇杷小鸟图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
215,现代陈大羽设色雄鸡立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
216,现代石鲁浅设色山水图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,其他有机质,征集购买,三级
217,现代于立群楷书毛泽东七律轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
218,现代日人涉山花卉轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
219,现代溥佺等合作画轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,旧藏,三级
220,嵌锡条花卉纹黄漆盖罐,辽宁博物馆,中华人民共和国,,,漆器,,,,"棉麻纤维,其他有机质,其他金属",征集购买,三级
221,现代木犁,辽宁博物馆,中华人民共和国,,,其他,,,,木,采集,三级
222,现代陈大羽设色紫藤立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
223,现代臧克家行书毛泽东“咏梅”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
224,现代仿康有为行书轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,旧藏,三级
225,现代堆花绿漆盖罐,辽宁博物馆,中华人民共和国,,,漆器,,,,"棉麻纤维,其他有机质",征集购买,三级
226,现代铁锹,辽宁博物馆,中华人民共和国,,,铁器、其他金属器,,,,"木,铁",采集,三级
227,现代叶丰枇杷蝴蝶图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
228,现代陈大羽设色萄蟹立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
229,现代陈毅致王世民信页,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,二级
230,现代周建人行书毛泽东“反第二次围剿”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
231,现代潘龄皋行书轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
232,现代彩绘蝴蝶纹黑漆盘,辽宁博物馆,中华人民共和国,,,漆器,,,,"棉麻纤维,其他有机质",征集购买,三级
233,现代齐白石桃实图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,二级
234,现代朱屺瞻渔舟待潮图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
235,现代陈大羽设色荷花立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,二级
236,现代亚明芦塘孤舟图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
237,现代陈叔通楷书毛泽东“元旦”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
238,现代王妙如山水轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
239,现代嵌蛋壳梅花纹黑漆盘,辽宁博物馆,中华人民共和国,,,漆器,,,,"棉麻纤维,其他有机质",征集购买,三级
240,现代张聿光设色花鸟图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
241,现代陈佩秋设色花鸟立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
242,现代陈叔通楷书毛泽东“广昌路上”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
243,现代陈之佛芙蓉双鸟图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,依法交换,三级
244,现代嵌锡片花卉纹黑漆盘,辽宁博物馆,中华人民共和国,,,漆器,,,,"棉麻纤维,其他有机质,其他金属",征集购买,三级
245,现代地契,辽宁博物馆,中华人民共和国,,,档案文书,,,,纸,接受捐赠,二级
246,现代徐悲鸿垂柳四鹊图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,二级
247,现代谢稚柳设色松树立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
248,现代邓初民行书毛泽东“为女民兵题照”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
249,现代陈之佛寒天野鸟图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,依法交换,三级
250,现代彩绘花卉纹黑漆圆盒,辽宁博物馆,中华人民共和国,,,漆器,,,,"棉麻纤维,其他有机质",征集购买,三级
251,现代叶丰设色花卉图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
252,现代柳村设色枇杷立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
253,现代齐良巳设色东方朔图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
254,现代许德珩行书毛泽东七律轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
255,现代宋惠民油画阳光下的恋情,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,丝,接受捐赠,三级
256,现代嵌锡片花卉纹黑漆高足罐,辽宁博物馆,中华人民共和国,,,漆器,,,,"棉麻纤维,其他有机质,其他金属",征集购买,三级
257,现代沈迈士设色枇杷图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
258,现代叶浅予设色西藏高原之舞图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
259,现代何水法设色荷花立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
260,现代叶圣陶行书毛泽东“沁园春雪”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
261,任梦璋油画福陵雪,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,丝,接受捐赠,三级
262,现代胭脂红漆荷花式盒,辽宁博物馆,中华人民共和国,,,漆器,,,,"木,其他有机质",征集购买,三级
263,现代何水法设色凌霄花立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
264,现代潘天寿行书毛泽东诗词卷,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
265,伏拉基米尔油画“贝加尔湖”,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,丝,征集购买,三级
266,现代宋光葆花鸟册,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,旧藏,三级
267,现代嵌锡片花蝶纹胭脂红漆瓶,辽宁博物馆,中华人民共和国,,,漆器,,,,"棉麻纤维,其他有机质,其他金属",征集购买,三级
268,现代何水法设色牡丹立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
269,现代于立群行书毛泽东“冬雪”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
270,库兹米娜油画“伊尔库兹克街道”,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,丝,征集购买,三级
271,现代仿木纹漆瓶,辽宁博物馆,中华人民共和国,,,漆器,,,,"木,其他有机质",征集购买,三级
272,现代半脱胎釉下彩牵牛花瓷酒具,辽宁博物馆,中华人民共和国,,,瓷器,,,,瓷,征集购买,三级
273,现代何水法设色花卉立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
274,现代陈年设色菊花图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
275,现代田汉草书毛泽东“和柳亚子先生”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
276,库兹米尔油画伊利娜,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,丝,征集购买,三级
277,现代仿木纹漆罐,辽宁博物馆,中华人民共和国,,,漆器,,,,"木,其他有机质",征集购买,三级
278,现代粉釉描金花朵花式瓷咖啡具,辽宁博物馆,中华人民共和国,,,瓷器,,,,瓷,征集购买,三级
279,现代应野平云山烟树横幅,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,丝,征集购买,三级
280,现代诸乐三设色紫藤立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
281,现代田汉草书毛泽东“和郭沫若同志”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
282,现代田野油画,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,丝,征集购买,三级
283,现代林凤眠菊花图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,旧藏,三级
284,现代嵌银丝花卉纹黑漆长方盒,辽宁博物馆,中华人民共和国,,,漆器,,,,"木,其他有机质,银",征集购买,三级
285,现代天青地堆云鹤瓷茶具,辽宁博物馆,中华人民共和国,,,瓷器,,,,瓷,征集购买,三级
286,现代陆小曼渔人晚息图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
287,现代沙孟海草书毛主席诗词《十六字令》立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
288,现代老舍行书毛泽东“会昌”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
289,现代徐悲鸿等合作墨竹图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,旧藏,三级
290,现代嵌银丝双燕花卉纹红木方盒,辽宁博物馆,中华人民共和国,,,竹木雕,,,,"木,银",征集购买,三级
291,现代浮彫楼阁人物方砖,辽宁博物馆,中华人民共和国,,,石器、石刻、砖瓦,,,,砖瓦,征集购买,三级
292,现代关山月岭南农村图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
293,现代沙孟沙海草书古诗立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
294,现代严济慈行书毛泽东“到韶山”立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
295,现代王青芳鲤鱼图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,旧藏,三级
296,现代嵌金银丝荷花芦雁纹红木盒,辽宁博物馆,中华人民共和国,,,竹木雕,,,,"木,银",征集购买,三级
297,现代拱德邻行书七绝诗轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
298,现代沙孟海草书叶剑英五言诗立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
299,现代严济慈行书毛泽东“清平乐 会昌”立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
300,现代齐白石螃蟹图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,旧藏,三级
301,现代徐燕荪运甓轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,旧藏,三级
302,现代嵌金银丝狮球纹红木盒,辽宁博物馆,中华人民共和国,,,竹木雕,,,,"木,银",征集购买,三级
303,现代黄西爽行书杜诗轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
304,现代娄师白花鸟图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
